ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2024;1BIMESTRE;11;7,22;7,4;4,5;8,5;11;92,05;14,0;9,09;11
2024;2º B 3º BIM;10;6,3;6,5;0,0;10,0;10;80,37;42,0;30,0;10
2024;2º B 4 BIMESTRE;10;8,0;9,0;0,0;10,0;10;90,0;26,0;10,0;10
2024;3ºBIM T A EST ECONO;7;8,94;9,4;7,5;9,6;7;91,6;20,0;0,0;7
2024;3ºBIM T B EST ECONO;9;7,89;8,5;6,0;9,6;9;92,16;24,0;0,0;9
2024;4 BIMESTRE;17;6,0;7,0;0,0;9,0;17;62,75;114,0;17,65;17
2024;4ªBIM T A EST ECONO;7;7,34;7,9;4,9;8,4;7;80,67;46,0;14,29;7
2024;4ºBIM T B EST ECONO;9;6,44;7,1;2,8;8,1;9;88,27;38,0;33,33;9
2024;ANÁLISE DE INVESTIMENTOS A 1B;15;7,07;9,4;0,0;9,9;15;83,68;71,0;26,67;15
2024;ANÁLISE DE INVESTIMENTOS A 2B;15;7,57;9,4;0,0;9,6;15;68,04;139,0;20,0;15
2024;ANÁLISE DE INVESTIMENTOS A 3B;15;7,2;9,0;0,0;9,0;15;75,94;83,0;20,0;15
2024;ANÁLISE DE INVESTIMENTOS A 4B;15;7,08;8,5;0,0;10,0;15;69,14;125,0;26,67;15
2024;ANÁLISE DE INVESTIMENTOS B 1B;12;8,53;9,1;4,3;10,0;12;94,25;20,0;8,33;12
2024;ANÁLISE DE INVESTIMENTOS B 2B;12;9,67;9,7;9,5;10,0;12;91,38;30,0;0,0;12
2024;ANÁLISE DE INVESTIMENTOS B 3B;12;9,04;9,5;6,0;9,5;12;94,0;18,0;0,0;12
2024;ANÁLISE DE INVESTIMENTOS B 4B;12;8,43;8,9;5,8;10,0;12;85,33;44,0;8,33;12
2024;BIM1ESTATECONB;9;7,36;8,4;0,0;9,5;9;79,63;66,0;11,11;9
2024;BIM1ESTECONA;7;8,47;8,6;7,2;9,2;7;89,47;28,0;0,0;7
2024;BIM2ESTATECONB;9;7,02;7,5;2,3;9,8;9;87,72;42,0;22,22;9
2024;BIM2ESTECONA;7;7,51;7,3;6,5;9,1;7;85,72;38,0;0,0;7
2024;CONT.SOCIAL2BIMESTRE.2A;8;6,72;8,75;0,0;10,0;8;66,67;48,0;25,0;8
2024;CONT.SOCIAL2BIMESTRE.2B;9;8,04;8,0;6,0;10,0;9;81,11;34,0;0,0;9
2024;CONTAB.SOCIAL 3BIMESTRE 2B;9;8,04;8,5;4,0;9,5;9;87,5;18,0;11,11;9
2024;CONTAB.SOCIAL 3BIMESTRE.2A;8;5,7;8,4;0,0;10,0;8;55,0;72,0;37,5;8
2024;CONTAB.SOCIAL 4BIMESTRE.2.B;9;9,56;10,0;6,0;10,0;9;100,0;0,0;0,0;9
2024;CONTAB.SOCIAL1BIMESTRE.2A;8;5,7;6,85;0,0;10,0;8;71,88;36,0;37,5;8
2024;CONTAB.SOCIAL1BIMESTRE.2B;9;7,1;7,4;4,1;8,0;9;95,83;6,0;11,11;9
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 1BIM 2024;25;6,99;7,0;0,0;9,5;25;86,22;124,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 2BIM 2024;25;7,73;8,3;0,0;9,4;25;92,0;72,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 3BIM 2024;25;7,4;8,0;0,0;9,5;25;92,0;72,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 4BIM 2024;25;7,69;8,6;0,0;9,8;25;92,0;72,0;12,0;25
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 1BIM 2024;26;6,5;7,0;0,0;10,0;26;77,62;128,0;30,77;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 2BIM 2024;26;7,38;8,2;0,0;10,0;26;78,63;100,0;15,38;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 3BIM 2024;26;7,82;8,6;0,0;10,0;26;88,46;48,0;11,54;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 4BIM 2024;26;7,06;8,2;0,0;9,8;26;87,02;54,0;15,38;26
2024;DIARIO CLASSE HPE 1A 1BIM 2024;13;7,51;7,8;0,0;9,5;13;86,71;38,0;7,69;13
2024;DIARIO CLASSE HPE 1A 2BIM 2024;13;7,2;7,7;0,0;8,8;13;87,5;26,0;7,69;13
2024;DIARIO CLASSE HPE 1A 3BIM 2024;13;7,97;9,0;0,0;9,8;13;92,31;16,0;7,69;13
2024;DIARIO CLASSE HPE 1A 4BIM 2024;13;6,52;7,8;0,0;8,6;13;92,31;18,0;30,77;13
2024;DIARIO CLASSE HPE 1B 1BIM 2024;17;7,5;7,8;3,0;8,8;17;93,58;24,0;5,88;17
2024;DIARIO CLASSE HPE 1B 2BIM 2024;17;7,28;7,8;0,0;9,2;17;91,18;30,0;5,88;17
2024;DIARIO CLASSE HPE 1B 3BIM 2024;17;6,89;8,2;0,0;10,0;17;88,24;32,0;17,65;17
2024;DIARIO CLASSE HPE 1B 4BIM 2024;17;5,88;7,0;0,0;9,0;17;88,24;28,0;23,53;17
2024;DIARIO CLASSE TEPEC I 2A 1BIM 2024;15;7,05;7,8;0,0;10,0;15;91,11;44,0;20,0;15
2024;DIARIO CLASSE TEPEC I 2A 2BIM 2024;15;6,05;7,0;0,0;9,3;15;86,67;60,0;20,0;15
2024;DIARIO CLASSE TEPEC I 2A 3BIM 2024;15;6,13;8,0;0,0;10,0;15;82,22;64,0;26,67;15
2024;DIARIO CLASSE TEPEC I 2A 4BIM 2024;15;5,93;7,0;0,0;10,0;15;82,22;56,0;33,33;15
2024;DIARIO CLASSE TEPEC I 2B 1BIM 2024;12;7,65;7,75;5,5;10,0;12;100,0;0,0;16,67;12
2024;DIARIO CLASSE TEPEC I 2B 2BIM 2024;12;6,49;7,15;0,0;8,3;12;94,44;20,0;16,67;12
2024;DIARIO CLASSE TEPEC I 2B 3BIM 2024;12;7,58;8,5;0,0;10,0;12;94,44;16,0;16,67;12
2024;DIARIO CLASSE TEPEC I 2B 4BIM 2024;12;7,98;9,0;0,0;10,0;12;94,44;14,0;8,33;12
2024;DIREITO A 1º B ASSIN;19;6,92;8,0;0,0;10,0;19;70,39;90,0;15,79;19
2024;DIREITO A 2ºB ASSI;19;6,84;8,0;0,0;10,0;19;70,39;90,0;26,32;19
2024;DIREITO B 1ºBIM ASSIN;10;7,62;8,0;0,0;10,0;10;82,5;28,0;10,0;10
2024;DIREITO B 2ºBIM ASSIN;10;7,0;7,5;0,0;10,0;10;87,5;28,0;10,0;10
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 1ºBIM ASSINADO;17;6,08;7,2;0,0;9,2;17;78,15;52,0;29,41;17
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM;17;4,95;6,7;0,0;9,4;17;58,17;128,0;47,06;17
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM ASSINADO;17;4,95;6,7;0,0;9,4;17;58,17;128,0;47,06;17
