ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2022;ANÁLISE ECONÔMICA E FINANCEIRA DE INVESTIMENTOS;17;4,98;6,5;0,0;10,0;43;61,09;483,0;44,19;43
2022;DESENVOLVIMENTO SOCIOECONÔMICO;43;8,81;9,0;0,0;10,0;101;100,0;0,0;0,99;109
2022;ECONOMETRIA;27;6,7;8,0;0,0;10,0;105;78,05;817,0;20,0;105
2022;ECONOMIA AGRÍCOLA E DO AGRONEGÓCIO;20;6,13;6,6;0,0;10,0;20;85,0;54,0;30,0;20
2022;ECONOMIA BRASILEIRA CONTEMPORÂNEA;24;6,32;7,33;0,0;10,0;94;78,67;716,0;27,66;94
2022;ECONOMIA DO SETOR PÚBLICO;22;6,51;7,2;0,0;10,0;88;84,19;246,0;21,59;88
2022;ECONOMIA INTERNACIONAL E COMÉRCIO EXTERIOR;41;8,01;9,0;0,0;10,0;72;98,61;40,0;16,67;80
2022;ECONOMIA MONETÁRIA;23;7,57;9,21;0,0;10,0;23;71,74;234,0;17,39;23
2022;ESTATÍSTICA ECONÔMICA;44;5,4;6,3;0,0;9,0;4;79,03;160,0;50,0;129
2022;HISTÓRIA ECONÔMICA GERAL;80;5,95;7,0;0,0;10,0;259;68,5;1442,0;27,8;308
2022;HISTÓTIA DO PENSAMENTO ECONÔMICO;79;4,79;6,95;0,0;10,0;316;60,25;2218,0;43,04;316
2022;INTRODUÇÃO À ADMINISTRAÇÃO;38;4,33;6,0;0,0;10,0;85;71,08;320,0;48,24;112
2022;INTRODUÇÃO À ECONOMIA;37;3,08;0,0;0,0;9,0;37;46,67;592,0;62,16;37
2022;MATEMÁTICA APLICADA À ECONOMIA;68;3,89;4,3;0,0;10,0;163;49,97;2833,0;58,28;175
2022;METODOLOGIA DE PESQUISA EM ECONOMIA;37;6,41;8,5;0,0;10,0;135;72,35;672,0;27,41;148
2022;MICROECONOMIA;47;5,64;7,0;0,0;10,0;188;68,28;2196,0;34,57;188
2022;MONOGRAFIA;13;2,56;0,0;0,0;8,96;13;30,77;576,0;69,23;13
2022;PL: INTEGRAL;232;5,8;7,4;0,0;10,0;2707;70,42;28562,0;35,32;2823
2022;SOCIOLOGIA E CIÊNCIA POLÍTICA;39;6,27;8,5;0,0;10,0;122;68,94;846,0;27,05;152
2022;TÉCNICAS DE PESQUISA EM ECONOMIA I;46;5,66;7,25;0,0;10,0;184;77,64;1086,0;33,7;184
2022;TÉCNICAS DE PESQUISA EM ECONOMIA II;35;8,34;8,0;0,0;10,0;50;96,92;25,0;4,0;72
2023;2 A 4 BIM ECONOMIA AGRICOLA;18;;;;;0;80,0;;;18
2023;2 B 4 BIM ECONOMIA AGRICOLA;16;9,5;9,5;9,5;9,5;1;84,38;0,0;0,0;16
2023;4 BIM ESTATISTICA 2A;19;5,91;8,5;0,0;9,5;17;65,49;176,0;35,29;19
2023;4BIMESTATECO;12;6,77;8,3;0,0;8,8;12;83,33;68,0;16,67;12
2023;4º BIIM 2º A - CONTABILIDADE SOCIAL;18;5,65;8,4;0,0;9,8;16;58,75;66,0;37,5;18
2023;4º BIM 2º B - CONTABILIDADE SOCIAL;15;9,39;9,45;8,5;10,0;14;87,14;18,0;0,0;15
2023;ANÁLISE DE INVESTIMENTOS 2 A 4 BIMESTRE;15;8,57;10,0;0,0;10,0;14;74,29;72,0;14,29;15
2023;ANÁLISE DE INVESTIMENTOS 2 B 4 BIMESTRE;21;9,5;10,0;0,0;10,0;20;92,5;30,0;5,0;21
2023;ANÁLISE DE PROJETOS 4 BIMESTRE;28;8,0;10,0;0,0;10,0;24;70,49;255,0;16,67;28
2023;ANÁLISE ECONÔMICA E FINANCEIRA DE INVESTIMENTOS;36;6,17;7,6;0,0;10,0;101;84,84;423,0;34,65;108
2023;BIM3-ECOM-MATAPLIC;33;2,92;0,0;0,0;8,9;31;48,9;602,0;74,19;33
2023;BIM4-ECOM-MATAPLIC;33;2,53;0,0;0,0;8,5;31;37,57;658,0;70,97;33
2023;CONTABILIDADE SOCIAL;35;6,05;6,7;0,0;10,0;93;76,42;436,0;37,63;100
2023;DESENVOLVIMENTO 4B NOVA;16;6,46;7,5;0,0;8,0;14;92,86;12,0;21,43;16
2023;DESENVOLVIMENTO 4B VERSO;1;;;;;0;;;;1
2023;DESENVOLVIMENTO SOCIOECONÔMICO;18;7,79;8,5;0,0;10,0;44;90,91;64,0;9,09;50
2023;DESENVOLVIMENTO SOCIOECONÔMICO 1B 2023;17;7,02;7,9;0,0;9,2;16;87,5;60,0;12,5;17
2023;ECO. INTERNACIONAL 4B NOVA;24;7,65;8,0;0,0;8,0;23;95,65;20,0;4,35;24
2023;ECONOMETRIA;30;6,0;6,0;6,0;6,0;1;72,8;0,0;0,0;86
2023;ECONOMETRIA - 4O BIMESTRE;30;7,48;9,0;0,0;10,0;21;69,34;242,0;19,05;30
2023;ECONOMIA AGRÍCOLA E DO AGRONEGÓCIO;34;7,59;8,5;0,0;10,0;62;85,15;110,0;11,29;100
2023;ECONOMIA BRASILEIRA CONTEMPORÂNEA;23;7,33;8,3;0,0;10,0;66;80,31;468,0;13,64;69
2023;ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 4BIM 2023;23;6,99;7,75;0,0;10,0;22;89,2;76,0;13,64;23
