ano;turma;serie_numero;alunos_distintos;media_notas;frequencia_media;total_faltas_horas;disciplinas_distintas;registros
2022;1ª A;;127;5,22;64,58;17324;8;2296
2022;2ª A;;96;6,08;75,72;7026;6;1287
2022;3ª A;;84;7,13;83,81;3354;5;697
2022;4ª A;;136;5,84;70,33;16414;6;939
2023;1ª A;;102;4,63;57,52;17561;23;2038
2023;2ª A;;49;6,57;79,7;4625;25;1164
2023;3ª A;;36;7,31;80,67;3110;17;815
2023;4ª A;;66;6,31;77,7;9880;21;799
2024;1ª A;;65;4,18;51,2;127521086;62;1848
2024;2ª A;;36;6,97;78,33;4803;71;985
2024;3ª A;1,0;28;7,31;80,3;4074;28;695
2024;4ª A;;47;7,2;82,63;5389;35;740
